C1,Ctes,P,R,T,Vbias,alphaI,betaI,g_tes1,g_tesb
1.3322676295501878e-15,1.0290958103296726e-13,1.0755717199600818e-12,0.002661767095830214,0.07312803595931427,1.2,92.61395599098907,0.7281202042122723,1.0100142944224899e-11,9.090039831960439e-11
1.3322676295501878e-15,1.0421463420654767e-13,1.0721060554552924e-12,0.0025385152247352494,0.07309369985280778,1.175,97.37512227659998,0.7871676026512244,1.0089484803188498e-11,9.080491913948663e-11
1.1102230246251565e-15,1.0205460277898217e-13,1.0683568297042332e-12,0.0024179582903975927,0.07305652049757327,1.1500000000000001,98.94762734780053,0.8684658836161514,1.0077938483732396e-11,9.070166839819649e-11
1.1102230246251565e-15,1.0091629390158949e-13,1.065008186672426e-12,0.002298173663758618,0.07302327572772072,1.1250000000000002,102.02397928443614,0.9540164206790871,1.0067724431905845e-11,9.060929784254768e-11
1.1102230246251565e-15,1.0357505554746672e-13,1.0608072516009433e-12,0.0021825449714611977,0.07298152848656514,1.1000000000000003,109.66384725930753,1.0407129574507659,1.0054845844820193e-11,9.049361260338173e-11
1.1102230246251565e-15,1.0494358430935535e-13,1.0571623533329151e-12,0.002067303560032485,0.07294524619635467,1.0750000000000004,117.44812480858502,1.1437781863471121,1.0043743614573941e-11,9.039280435274577e-11
1.3322676295501878e-15,1.0447457509293593e-13,1.0534164452040057e-12,0.00195418422563165,0.07290793522840033,1.0500000000000005,126.24880408377115,1.3152105750893797,1.003219729511784e-11,9.028955361145563e-11
1.1102230246251565e-15,1.0585875562285344e-13,1.0490426543846811e-12,0.0018443907405103488,0.07286430341182637,1.0250000000000006,137.251814625824,1.4851040122377435,1.0018652574217413e-11,9.016876134637641e-11
1.3322676295501878e-15,1.0392398314617188e-13,1.0452241735163888e-12,0.001735091423626045,0.07282617712431261,1.0000000000000007,139.5886190267671,1.6113335380843488,1.0007106254761311e-11,9.006329015903702e-11
1.3322676295501878e-15,1.0163854457581026e-13,1.0409569427462503e-12,0.0016285894586438587,0.0727834957088973,0.9750000000000008,136.14737720501157,1.690165942054843,9.994005623070734e-12,8.994516242921691e-11
1.3322676295501878e-15,1.0542415248691116e-13,1.0360938206981596e-12,0.0015250432627880173,0.0727347984711173,0.9500000000000008,144.06336393508602,1.7878359707476803,9.978906589935832e-12,8.981060339863234e-11
1.3322676295501878e-15,1.0584139880300369e-13,1.0316382757920762e-12,0.0014222836934024707,0.07269012422081111,0.9250000000000009,149.9953987886651,1.9653505412366008,9.965361869035405e-12,8.968736864289895e-11
1.3322676295501878e-15,1.0441522472375276e-13,1.0262570450133779e-12,0.0013229106066052765,0.07263608391739496,0.900000000000001,155.2457374244509,2.185233029397982,9.948708523666028e-12,8.953815466838932e-11
1.3322676295501878e-15,1.0550003608941765e-13,1.0210767950187778e-12,0.0012245803558670332,0.07258397704087827,0.8750000000000011,164.7048316884258,2.396124056105645,9.932721312111426e-12,8.939471385360775e-11
1.3322676295501878e-15,1.0446477367725551e-13,1.015536445235147e-12,0.001128238519531033,0.07252814185554257,0.8500000000000012,172.45978499354948,2.6780338284611918,9.915623877532198e-12,8.924083694239471e-11
1.3322676295501878e-15,1.0647697167284865e-13,1.009516227049032e-12,0.0010338783141872199,0.07246735568887175,0.8250000000000013,187.10772814760992,3.004673304669873,9.896972130718495e-12,8.907363735488616e-11
1.3322676295501878e-15,1.0746922627080763e-13,1.0030087148684853e-12,0.0009412178279264438,0.07240154614450134,0.8000000000000014,201.60309691049545,3.404115481080259,9.876988116275243e-12,8.889289304647718e-11
1.3322676295501878e-15,1.0755604038941247e-13,9.957604635611995e-13,0.0008502862919106402,0.07232807744354197,0.7750000000000015,215.9973476426828,3.8267655070473827,9.854561611177814e-12,8.869127654520526e-11
1.5543122344752192e-15,1.1078639945373142e-13,9.88183584145197e-13,0.0007598688161598588,0.07225109440982891,0.7500000000000016,242.21322992293545,4.413593434435837,9.831024883055761e-12,8.848011212592155e-11
1.7763568394002505e-15,1.0951672936435866e-13,9.793367300328305e-13,0.000670574047117789,0.07216097765740415,0.7250000000000016,262.5401324570952,5.135592903957329,9.803713396649982e-12,8.823342056984984e-11
1.7763568394002505e-15,1.1192300294691107e-13,9.69112486787882e-13,0.0005810568175812492,0.0720565195732128,0.7000000000000017,301.6230324004705,6.206894486884399,9.771961018145703e-12,8.794809325252118e-11
1.7763568394002505e-15,1.120289898538154e-13,9.564647416867351e-13,0.0004899922797960699,0.0719268805995128,0.6750000000000018,343.71124092963737,7.630085287372797,9.732659123073972e-12,8.759459824148053e-11
1.7763568394002505e-15,1.1728619686168781e-13,9.394650766967003e-13,0.00039308142488869713,0.07175167407607042,0.6500000000000019,431.26097568334137,10.327859326662423,9.679812507101815e-12,8.711809051931141e-11
