,Vdrive,X,Y,endTime,freq,sensitivity,startTime
5,1.5,0.000178655925,4.76836458333e-07,1543083165.71,8.6,0.05,1543083159.95
6,1.5,0.000153701441667,-3.123301875e-05,1543083171.58,8.7,0.05,1543083165.71
7,1.5,0.00013725055,-4.83992029167e-05,1543083177.33,8.8,0.05,1543083171.58
8,1.5,0.000123104154167,-6.54860629167e-05,1543083183.12,8.9,0.05,1543083177.34
9,1.5,0.000109752465833,-6.43734825e-05,1543083188.87,9.0,0.05,1543083183.13
0,1.5,0.000106414608333,-7.33539154167e-05,1543083194.62,9.1,0.05,1543083188.88
1,1.5,0.000106891445833,-7.86785975e-05,1543083200.42,9.2,0.05,1543083194.62
2,1.5,0.0001079245875,-8.46390620833e-05,1543083206.18,9.3,0.05,1543083200.43
3,1.5,0.000117302445833,-0.000115712941667,1543083211.99,9.4,0.05,1543083206.18
4,1.5,0.00011746145,-0.000173410725,1543083217.77,9.5,0.05,1543083211.99
5,1.5,3.234562375e-05,-0.000251453725,1543083223.56,9.6,0.05,1543083217.77
6,1.5,-9.11558366667e-05,-0.000226021754167,1543083229.41,9.7,0.05,1543083223.57
7,1.5,-0.000116746183333,-0.000154893545833,1543083235.23,9.8,0.05,1543083229.41
8,1.5,-0.0001491714875,-9.17916191667e-05,1543083241.03,9.9,0.05,1543083235.24
9,1.5,-0.000128826429167,-6.91418575e-05,1543083246.79,10.0,0.05,1543083241.03
0,1.5,-0.0001118982375,-4.85581483333e-05,1543083252.62,10.1,0.05,1543083246.8
1,1.5,-9.23479291667e-05,-3.918035125e-05,1543083258.38,10.2,0.05,1543083252.63
2,1.5,-7.47844245833e-05,-3.12330141667e-05,1543083264.14,10.3,0.05,1543083258.39
3,1.5,-7.3671805e-05,-3.06767008333e-05,1543083269.9,10.4,0.05,1543083264.14
4,1.5,-6.82676554167e-05,-2.68619458333e-05,1543083275.66,10.5,0.05,1543083269.9
5,1.5,-6.651925125e-05,-2.51930145833e-05,1543083281.51,10.6,0.05,1543083275.66
6,1.5,-6.85855445833e-05,-1.62920308333e-05,1543083287.24,10.7,0.05,1543083281.51
7,1.5,-7.11286754167e-05,-1.01725785833e-05,1543083293.02,10.8,0.05,1543083287.25
8,1.5,-7.32744420833e-05,1.98683529167e-06,1543083298.8,10.9,0.05,1543083293.02
9,1.5,-7.96322695833e-05,7.867864e-06,1543083304.59,11.0,0.05,1543083298.8
0,1.5,-8.53543170833e-05,2.16167333333e-05,1543083310.46,11.1,0.05,1543083304.59
1,1.5,-9.083794375e-05,5.221390375e-05,1543083316.29,11.2,0.05,1543083310.46
2,1.5,-0.00010895775,6.88239625e-05,1543083322.26,11.3,0.05,1543083316.29
3,1.5,-0.0001451977785,0.000160297725,1543083335.3,11.4,0.02,1543083322.27
4,1.5,-9.14737282667e-05,8.65861668333e-05,1543083348.29,11.5,0.02,1543083335.3
5,1.5,-0.000520291818125,-0.0001255876675,1543083361.22,11.6,0.02,1543083348.29
6,1.5,-0.000311257164813,0.000163853946875,1543083374.11,11.7,0.02,1543083361.22
7,1.5,-0.000280083745188,-7.9215013125e-05,1543083386.99,11.8,0.02,1543083374.11
8,1.5,-0.00013911799,0.000354570016667,1543083400.0,11.9,0.02,1543083386.99
9,1.5,-9.61626579167e-05,0.000526113595833,1543083412.98,12.0,0.02,1543083400.0
0,1.5,0.000597560004167,0.0005304845125,1543083425.95,12.1,0.05,1543083412.99
1,1.5,0.00047620325,0.000467620391667,1543083431.69,12.2,0.05,1543083425.95
2,1.5,0.000491145225,0.000264408070833,1543083437.56,12.3,0.05,1543083431.69
3,1.5,0.000460467595833,0.0001658608,1543083443.32,12.4,0.05,1543083437.57
4,1.5,0.000453076625,0.000101805174167,1543083449.08,12.5,0.05,1543083443.32
5,1.5,0.0004472751125,5.57901775e-05,1543083454.86,12.6,0.05,1543083449.09
6,1.5,0.000451010333333,3.42530279167e-05,1543083460.6,12.7,0.05,1543083454.87
7,1.5,0.000454348191667,5.56313579167e-06,1543083466.36,12.8,0.05,1543083460.6
8,1.5,0.0004564939625,-1.03315316667e-05,1543083472.14,12.9,0.05,1543083466.37
9,1.5,0.000461580208333,-2.79745758333e-05,1543083477.91,13.0,0.05,1543083472.14
0,1.5,0.000472626966667,-5.42007208333e-05,1543083483.71,13.1,0.05,1543083477.91
1,1.5,0.000486296925,-7.92349079167e-05,1543083489.53,13.2,0.05,1543083483.71
2,1.5,0.0005022722,-0.0001087988,1543083495.41,13.3,0.05,1543083489.53
3,1.5,0.000518802575,-0.000149250966667,1543083501.21,13.4,0.05,1543083495.42
4,1.5,0.000544631233333,-0.000197649916667,1543083506.98,13.5,0.05,1543083501.22
5,1.5,0.000570062554167,-0.000267348566667,1543083512.79,13.6,0.05,1543083506.99
6,1.5,0.000589930783333,-0.000372014304167,1543083518.65,13.7,0.05,1543083512.79
7,1.5,0.000533832456,-0.000547412772,1543083524.62,13.8,0.05,1543083518.65
8,1.5,0.000180404433333,-0.0006182230875,1543083530.37,13.9,0.05,1543083524.62
9,1.5,-7.867863625e-06,-0.000475647083333,1543083536.11,14.0,0.05,1543083530.37
0,1.5,-7.605599125e-05,-0.000358344975,1543083541.88,14.1,0.05,1543083536.12
1,1.5,-7.39102254167e-05,-0.000276726366667,1543083547.63,14.2,0.05,1543083541.89
2,1.5,-5.07834179167e-05,-0.0002295980375,1543083553.39,14.3,0.05,1543083547.63
3,1.5,-3.28224908333e-05,-0.0001942325875,1543083559.18,14.4,0.05,1543083553.39
4,1.5,-1.42257267917e-05,-0.000165781325,1543083564.95,14.5,0.05,1543083559.18
5,1.5,1.21594113333e-05,-0.000157277720833,1543083570.77,14.6,0.05,1543083564.95
6,1.5,2.63851083333e-05,-0.000151794091667,1543083576.62,14.7,0.05,1543083570.77
7,1.5,4.92734083333e-05,-0.000152032516667,1543083582.45,14.8,0.05,1543083576.63
8,1.5,7.23207666667e-05,-0.000161728208333,1543083588.26,14.9,0.05,1543083582.45
9,1.5,8.02680558333e-05,-0.0001741259875,1543083594.04,15.0,0.05,1543083588.27
0,1.5,0.000116547594583,-0.000202537722917,1543083607.06,15.1,0.02,1543083594.05
1,1.5,6.361839575e-05,-0.0002108826125,1543083620.04,15.2,0.02,1543083607.06
2,1.5,0.000134667494583,-0.000113964724167,1543083633.01,15.3,0.02,1543083620.05
3,1.5,-0.000119289334833,-5.6346516e-05,1543083645.98,15.4,0.05,1543083633.02
4,1.5,6.53271575e-05,-0.000218074466667,1543083651.79,15.5,0.05,1543083645.99
5,1.5,6.99365866667e-05,-0.000220776533333,1543083657.58,15.6,0.05,1543083651.79
6,1.5,7.30360241667e-05,-0.00021751815,1543083663.34,15.7,0.05,1543083657.58
7,1.5,7.82812329167e-05,-0.000213465025,1543083669.08,15.8,0.05,1543083663.34
8,1.5,9.18710916667e-05,-0.0002291212,1543083674.83,15.9,0.05,1543083669.09
9,1.5,0.000113646641667,-0.000260990733333,1543083680.58,16.0,0.05,1543083674.83
0,1.5,0.0001375684375,-0.0003049392,1543083686.35,16.1,0.05,1543083680.59
1,1.5,0.000147025716667,-0.000344993545833,1543083692.21,16.2,0.05,1543083686.35
2,1.5,0.000143687845833,-0.000379087383333,1543083698.01,16.3,0.05,1543083692.22
3,1.5,0.000141701029167,-0.0004100818,1543083703.76,16.4,0.05,1543083698.02
4,1.5,0.000140985783333,-0.000443937241667,1543083709.57,16.5,0.05,1543083703.77
5,1.5,0.000144085220833,-0.000492814933333,1543083715.34,16.6,0.05,1543083709.58
6,1.5,0.000143449433333,-0.000555360054167,1543083721.11,16.7,0.05,1543083715.35
7,1.5,0.000123660604167,-0.000640157620833,1543083726.88,16.8,0.05,1543083721.11
8,1.5,4.55381820833e-05,-0.0007607179375,1543083732.63,16.9,0.05,1543083726.88
