,Vdrive,X,Y,endTime,freq,sensitivity,startTime
8,1.5,-0.0003700275,-0.0001399526375,1543112125.58,393.1,0.05,1543112119.74
9,1.5,-0.000369630125,-0.000141383125,1543112131.41,393.0,0.05,1543112125.59
0,1.5,-0.000368517475,-0.0001430521,1543112137.23,392.9,0.05,1543112131.42
1,1.5,-0.000367722758333,-0.000145197825,1543112143.04,392.8,0.05,1543112137.24
2,1.5,-0.000366371741667,-0.0001468668,1543112148.8,392.7,0.05,1543112143.04
3,1.5,-0.000365418091667,-0.0001468668,1543112154.6,392.6,0.05,1543112148.8
4,1.5,-0.000363431275,-0.000147184683333,1543112160.37,392.5,0.05,1543112154.61
5,1.5,-0.000363272325,-0.0001487741,1543112166.14,392.4,0.05,1543112160.37
6,1.5,-0.000359616575,-0.000149648325,1543112171.94,392.3,0.05,1543112166.14
7,1.5,-0.000359775525,-0.000152509329167,1543112177.72,392.2,0.05,1543112171.95
8,1.5,-0.000358662875,-0.0001525888,1543112183.53,392.1,0.05,1543112177.74
9,1.5,-0.0003566761,-0.000155052495833,1543112189.31,392.0,0.05,1543112183.54
0,1.5,-0.0003566761,-0.000156006145833,1543112195.08,391.9,0.05,1543112189.32
1,1.5,-0.0003566761,-0.0001573572125,1543112200.88,391.8,0.05,1543112195.08
2,1.5,-0.0003547687,-0.000156483,1543112206.77,391.7,0.05,1543112200.88
3,1.5,-0.000353735579167,-0.000157118775,1543112212.63,391.6,0.05,1543112206.77
4,1.5,-0.0003522256,-0.000158549304167,1543112218.52,391.5,0.05,1543112212.64
5,1.5,-0.00035270245,-0.000159344020833,1543112224.3,391.4,0.05,1543112218.53
6,1.5,-0.000349523525,-0.0001602182,1543112230.1,391.3,0.05,1543112224.31
7,1.5,-0.00034825195,-0.0001602182,1543112235.9,391.2,0.05,1543112230.11
8,1.5,-0.000346741945833,-0.000160774525,1543112241.66,391.1,0.05,1543112235.91
9,1.5,-0.000346821416667,-0.000161251375,1543112247.52,391.0,0.05,1543112241.67
0,1.5,-0.000345232,-0.0001633176625,1543112253.35,390.9,0.05,1543112247.53
